seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
69,hotcore,20,5,0.028,0.2789,0.394,1,29,11,0.582698,0.597221,0.571897,5480.0,18500.0,13140.0,11,11,11,0|1|4|6,0|1|4|6,2|3|5|7,2xNA,0.597221,18500.0,-6.287,0.7103,0,0,2xNA,0.500000,0.500000
70,hotcore,20,3,0.066,0.2808,0.2912,0,21,5,0.722838,0.740007,0.756274,3740.0,17500.0,7580.0,6,5,5,0|2|3|6,0|1|5|7,0|1|4|5,2xNA,0.740007,17500.0,6.257,0.4331,0,1,SC+NA,0.418750,0.581250
71,hotcore,20,3,0.128,0.2767,0.3159,0,22,6,0.712101,0.72226,0.723157,4680.0,15500.0,8040.0,6,6,6,0|2|3|6,0|2|3|6,0|1|2|3,2xNA,0.72226,15500.0,0.323,0.5187,0,1,SC+NA,0.400000,0.600000
72,hotcore,20,4,0.123,0.2125,0.3163,0,19,5,0.774069,0.759074,0.775737,3540.0,14500.0,6960.0,5,5,5,0|1|3|6,0|1|3|6,2|4|5|7,2xSC,0.774069,3540.0,0.738,1.9661,1,0,SC+NA,0.456250,0.543750
73,hotcore,20,4,0.105,0.2637,0.3194,0,23,6,0.724865,0.72638,0.759221,4900.0,17500.0,6500.0,6,6,6,0|3|4|7,0|3|4|7,0|3|4|7,2xNA,0.72638,17500.0,12.002,0.3714,0,1,SC+NA,0.462500,0.537500
74,hotcore,20,3,0.108,0.3278,0.3403,0,25,4,0.725806,0.762671,0.813764,7020.0,19000.0,7460.0,4,4,4,0|1|4|6,0|1|4|6,1|4|5|6,2xNA,0.762671,19000.0,21.528,0.3926,0,1,SC+NA,0.437500,0.562500
75,hotcore,20,5,0.093,0.2884,0.4732,1,35,14,0.537146,0.539355,0.501858,5260.0,18500.0,14500.0,14,14,14,0|2|5|6,0|3|5|7,0|2|5|6,2xNA,0.539355,18500.0,-8.14,0.7838,0,0,2xNA,0.581250,0.418750
76,hotcore,20,4,0.191,0.2514,0.4084,0,30,10,0.629942,0.623184,0.633047,4900.0,18000.0,9720.0,10,10,10,0|2|3|7,0|2|3|7,0|1|2|3,2xSC,0.629942,4900.0,0.839,1.9837,1,0,SC+NA,0.525000,0.475000
77,hotcore,20,3,0.072,0.3312,0.3024,0,22,2,0.779095,0.809357,0.8526,5440.0,19000.0,6240.0,2,2,2,0|3|4|7,0|3|4|7,0|3|4|7,2xNA,0.809357,19000.0,22.683,0.3284,0,1,SC+NA,0.412500,0.587500
78,hotcore,20,5,0.028,0.2835,0.3691,1,26,9,0.640937,0.649399,0.611163,5860.0,19000.0,14800.0,9,9,9,0|3|4|5,0|3|4|5,0|3|4|5,2xNA,0.649399,19000.0,-10.906,0.7789,0,0,2xNA,0.600000,0.400000
